Isolate	Predicted_Categorical_Clearance	Probability
isolate_02	FAST	0.2
isolate_09	SLOW	0.28
isolate_10	FAST	0.36
isolate_11	SLOW	0.44
isolate_12	FAST	0.52
isolate_13	SLOW	0.6
isolate_14	FAST	0.68
isolate_16	SLOW	0.76
isolate_18	FAST	0.84
isolate_19	SLOW	0.92
isolate_20	FAST	0.2
isolate_22	SLOW	0.25
isolate_23	FAST	0.3
isolate_24	SLOW	0.35
isolate_27	FAST	0.4
isolate_29	SLOW	0.45
isolate_30	FAST	0.5
isolate_31	SLOW	0.55
isolate_32	FAST	0.6
isolate_35	SLOW	0.65
isolate_38	FAST	0.7
isolate_39	SLOW	0.75
isolate_40	FAST	0.8
isolate_42	SLOW	0.85
isolate_43	FAST	0.9
isolate_44	SLOW	0.95
isolate_46	FAST	0.18
isolate_47	SLOW	0.2
isolate_50	FAST	0.22
isolate_51	SLOW	0.24
isolate_53	FAST	0.26
isolate_54	SLOW	0.28
